image,id,confidence,x1,y1,x2,y2,radius,area,length,width,unit,mode
327_jpg.rf.20058ff00cb0f9424f618be566e0554b.jpg,0,0.312,437,61,491,166,37.64,4450.01,105.25,53.83,px,pixel
328_jpg.rf.3f79da39862d9df1ac08ecaa09140930.jpg,0,0.345,89,7,569,549,254.69,203788.12,541.31,479.34,px,pixel
341_jpg.rf.406531853109e504247787e8c5aac0b2.jpg,0,0.67,43,265,544,491,168.18,88857.29,501.63,225.54,px,pixel
342_jpg.rf.44667212b87c980fbc1df21d2cb538d2.jpg,0,0.732,7,2,519,376,218.64,150172.6,511.48,373.83,px,pixel
347_jpg.rf.06051f5b2de601680882f78e71574fc1.jpg,0,0.678,251,381,350,449,40.92,5260.81,99.0,67.66,px,pixel
347_jpg.rf.06051f5b2de601680882f78e71574fc1.jpg,1,0.676,403,307,494,358,33.91,3613.39,90.45,50.86,px,pixel
347_jpg.rf.06051f5b2de601680882f78e71574fc1.jpg,2,0.67,255,547,476,640,71.34,15986.94,220.95,92.12,px,pixel
347_jpg.rf.06051f5b2de601680882f78e71574fc1.jpg,3,0.605,497,496,639,586,56.56,10049.13,141.91,90.16,px,pixel
347_jpg.rf.06051f5b2de601680882f78e71574fc1.jpg,4,0.566,141,163,207,211,27.99,2461.61,65.76,47.66,px,pixel
347_jpg.rf.06051f5b2de601680882f78e71574fc1.jpg,5,0.543,65,432,133,477,27.61,2394.8,68.16,44.74,px,pixel
347_jpg.rf.06051f5b2de601680882f78e71574fc1.jpg,6,0.452,218,265,277,302,23.54,1740.23,59.06,37.52,px,pixel
347_jpg.rf.06051f5b2de601680882f78e71574fc1.jpg,7,0.369,71,360,152,397,27.29,2339.28,80.82,36.86,px,pixel
347_jpg.rf.06051f5b2de601680882f78e71574fc1.jpg,8,0.365,118,314,213,377,38.51,4660.04,94.82,62.57,px,pixel
347_jpg.rf.06051f5b2de601680882f78e71574fc1.jpg,9,0.359,21,492,338,639,108.02,36660.36,316.98,147.26,px,pixel
347_jpg.rf.06051f5b2de601680882f78e71574fc1.jpg,10,0.297,93,311,213,393,49.43,7674.71,119.79,81.57,px,pixel
347_jpg.rf.06051f5b2de601680882f78e71574fc1.jpg,11,0.258,262,318,321,356,23.68,1762.34,59.31,37.83,px,pixel
350_jpg.rf.b4d40d787fed467947d4e69396b4c8c2.jpg,0,0.496,247,191,431,414,101.12,32121.55,222.32,183.96,px,pixel
350_jpg.rf.b4d40d787fed467947d4e69396b4c8c2.jpg,1,0.442,294,74,368,135,33.76,3579.84,74.48,61.19,px,pixel
350_jpg.rf.b4d40d787fed467947d4e69396b4c8c2.jpg,2,0.386,514,244,613,330,45.82,6594.49,98.42,85.31,px,pixel
360_jpg.rf.5e2427a00a0f7c734fb1b940b4a29ad4.jpg,0,0.709,475,308,637,448,75.34,17831.09,162.32,139.87,px,pixel
360_jpg.rf.5e2427a00a0f7c734fb1b940b4a29ad4.jpg,1,0.477,392,239,516,303,44.49,6219.23,123.69,64.02,px,pixel
360_jpg.rf.5e2427a00a0f7c734fb1b940b4a29ad4.jpg,2,0.432,86,333,187,448,53.71,9061.53,114.53,100.74,px,pixel
360_jpg.rf.5e2427a00a0f7c734fb1b940b4a29ad4.jpg,3,0.297,269,269,331,325,29.78,2785.36,62.82,56.45,px,pixel
360_jpg.rf.5e2427a00a0f7c734fb1b940b4a29ad4.jpg,4,0.262,243,380,316,462,38.84,4739.16,81.83,73.74,px,pixel
438_jpg.rf.b3c5aa36c7e0ef03f2b98582b81aa4bd.jpg,0,0.662,29,64,608,614,282.07,249964.04,579.12,549.57,px,pixel
438_jpg.rf.b3c5aa36c7e0ef03f2b98582b81aa4bd.jpg,1,0.283,77,19,592,525,255.19,204585.06,514.98,505.82,px,pixel
441_jpg.rf.0e33e82c64a8b59bb1d0724ac6f17cfe.jpg,0,0.674,250,556,389,639,53.48,8986.65,139.25,82.17,px,pixel
441_jpg.rf.0e33e82c64a8b59bb1d0724ac6f17cfe.jpg,1,0.615,417,517,501,579,36.2,4116.79,84.75,61.85,px,pixel
441_jpg.rf.0e33e82c64a8b59bb1d0724ac6f17cfe.jpg,2,0.582,258,426,323,475,28.46,2544.37,65.32,49.6,px,pixel
441_jpg.rf.0e33e82c64a8b59bb1d0724ac6f17cfe.jpg,3,0.577,360,366,418,406,23.93,1799.68,57.71,39.7,px,pixel
441_jpg.rf.0e33e82c64a8b59bb1d0724ac6f17cfe.jpg,4,0.472,134,464,179,501,20.33,1298.62,44.67,37.01,px,pixel
441_jpg.rf.0e33e82c64a8b59bb1d0724ac6f17cfe.jpg,5,0.469,194,255,240,288,19.5,1194.32,45.86,33.16,px,pixel
441_jpg.rf.0e33e82c64a8b59bb1d0724ac6f17cfe.jpg,6,0.427,446,311,494,353,22.34,1567.42,47.79,41.76,px,pixel
441_jpg.rf.0e33e82c64a8b59bb1d0724ac6f17cfe.jpg,7,0.33,240,332,282,362,17.54,966.98,41.14,29.93,px,pixel
441_jpg.rf.0e33e82c64a8b59bb1d0724ac6f17cfe.jpg,8,0.301,140,404,194,438,21.26,1419.94,53.52,33.78,px,pixel
441_jpg.rf.0e33e82c64a8b59bb1d0724ac6f17cfe.jpg,9,0.279,173,369,232,415,26.09,2138.09,58.28,46.71,px,pixel
441_jpg.rf.0e33e82c64a8b59bb1d0724ac6f17cfe.jpg,10,0.275,205,509,302,563,35.93,4054.88,96.55,53.47,px,pixel
451_jpg.rf.b94d277536f7e2d35834fb2578784c0e.jpg,0,0.562,88,397,222,542,69.73,15275.86,145.32,133.84,px,pixel
451_jpg.rf.b94d277536f7e2d35834fb2578784c0e.jpg,1,0.444,313,434,401,541,48.51,7391.65,107.09,87.88,px,pixel
463_jpg.rf.7e8f90498359de277c6403a5f1e5c6ef.jpg,0,0.486,287,269,410,367,54.82,9440.47,123.05,97.68,px,pixel
463_jpg.rf.7e8f90498359de277c6403a5f1e5c6ef.jpg,1,0.409,203,51,283,95,29.8,2789.81,80.17,44.31,px,pixel
463_jpg.rf.7e8f90498359de277c6403a5f1e5c6ef.jpg,2,0.318,286,272,401,339,44.08,6104.25,114.88,67.65,px,pixel
463_jpg.rf.7e8f90498359de277c6403a5f1e5c6ef.jpg,3,0.291,216,115,331,168,39.12,4808.83,114.47,53.49,px,pixel
463_jpg.rf.7e8f90498359de277c6403a5f1e5c6ef.jpg,4,0.279,438,93,502,140,27.11,2309.6,63.49,46.32,px,pixel
485_jpg.rf.757e4dbc371a3ec0a3b32101532855f3.jpg,0,0.252,243,264,335,357,46.31,6737.83,93.19,92.06,px,pixel
490_jpg.rf.1d46f70c0d9b0c6671987986d9a19454.jpg,0,0.685,400,332,514,414,48.09,7264.51,113.7,81.35,px,pixel
490_jpg.rf.1d46f70c0d9b0c6671987986d9a19454.jpg,1,0.593,228,385,407,528,79.8,20007.7,178.95,142.36,px,pixel
490_jpg.rf.1d46f70c0d9b0c6671987986d9a19454.jpg,2,0.553,145,250,246,399,61.35,11824.99,148.82,101.17,px,pixel
490_jpg.rf.1d46f70c0d9b0c6671987986d9a19454.jpg,3,0.318,451,265,569,333,44.8,6304.21,118.06,67.99,px,pixel
490_jpg.rf.1d46f70c0d9b0c6671987986d9a19454.jpg,4,0.312,69,10,266,137,79.07,19641.16,196.89,127.02,px,pixel
492_jpg.rf.22c9f029e488d6bf8bf31170e25dc234.jpg,0,0.826,4,263,456,558,182.56,104705.68,451.73,295.12,px,pixel
497_jpg.rf.021ea0103f73d9a60b6059939d642f9a.jpg,0,0.912,15,51,500,493,231.54,168427.08,484.82,442.33,px,pixel
520_jpg.rf.0d0d1d2ce7a0c08a88724b8b860ea90f.jpg,0,0.563,0,4,600,391,241.28,182890.67,600.57,387.74,px,pixel
53_jpg.rf.ad62b4c5a6ef9cf7694e9ab0fb79fea5.jpg,0,0.669,501,330,639,510,78.89,19552.48,180.48,137.94,px,pixel
53_jpg.rf.ad62b4c5a6ef9cf7694e9ab0fb79fea5.jpg,1,0.479,158,177,271,280,54.17,9220.06,113.66,103.29,px,pixel
53_jpg.rf.ad62b4c5a6ef9cf7694e9ab0fb79fea5.jpg,2,0.406,379,217,429,267,25.05,1970.67,50.47,49.72,px,pixel
540_jpg.rf.269d20814b7a283ffabd68a3438bde37.jpg,0,0.469,393,113,495,279,64.84,13206.51,165.49,101.61,px,pixel
540_jpg.rf.269d20814b7a283ffabd68a3438bde37.jpg,1,0.354,2,0,343,545,215.71,146174.75,545.07,341.45,px,pixel
540_jpg.rf.269d20814b7a283ffabd68a3438bde37.jpg,2,0.347,296,0,360,82,36.42,4167.58,82.68,64.18,px,pixel
540_jpg.rf.269d20814b7a283ffabd68a3438bde37.jpg,3,0.311,377,280,486,442,66.55,13914.3,162.11,109.29,px,pixel
554_jpg.rf.2808809d0619aa12b206e3a6561af7b3.jpg,0,0.432,99,410,410,640,133.45,55951.51,310.68,229.3,px,pixel
554_jpg.rf.2808809d0619aa12b206e3a6561af7b3.jpg,1,0.373,349,349,640,636,144.38,65491.97,290.53,287.02,px,pixel
554_jpg.rf.2808809d0619aa12b206e3a6561af7b3.jpg,2,0.283,252,265,349,340,42.83,5762.8,97.3,75.41,px,pixel
576_jpg.rf.16c701df817d7655783e945110dd9922.jpg,0,0.798,1,245,331,519,150.51,71166.87,330.5,274.17,px,pixel
578_jpg.rf.0a4c664ac88d6e461020e6985e805d26.jpg,0,0.404,40,118,640,640,279.54,245495.98,599.37,521.51,px,pixel
578_jpg.rf.0a4c664ac88d6e461020e6985e805d26.jpg,1,0.344,498,294,637,444,72.28,16412.85,149.89,139.42,px,pixel
578_jpg.rf.0a4c664ac88d6e461020e6985e805d26.jpg,2,0.331,334,174,592,325,98.8,30667.22,257.99,151.35,px,pixel
57_jpg.rf.0443ea5c5eac25f75b3affc957b5cc01.jpg,0,0.653,213,246,428,433,100.03,31433.77,214.45,186.63,px,pixel
584_jpg.rf.3253c10b19ecb45fa123e00f98447667.jpg,0,0.764,100,160,489,577,201.29,127295.91,416.14,389.48,px,pixel
586_jpg.rf.47b1038f1600037eda0a3a49ade62da8.jpg,0,0.414,5,69,519,446,220.16,152269.31,514.63,376.73,px,pixel
586_jpg.rf.47b1038f1600037eda0a3a49ade62da8.jpg,1,0.344,114,340,221,415,44.8,6304.82,107.19,74.89,px,pixel
